,title,country,clean_description,listed_in_clean,cast_clean,combined
1599,break,"France, Belgium",serious accident rediscover dancer vincent talented,comedies dramas international movies,sabrina ouazani kévin mischel hassam ghancy slimane maxime pambet camille japy christophe reymond,serious accident rediscover dancer vincent talented comedies dramas international movies sabrina ouazani kévin mischel hassam ghancy slimane maxime pambet camille japy christophe reymond
1600,chico bon bon and the very berry holiday,,force plan hit every home fast town avoid holiday disaster,children family movies,robbie daymond dayci brookshire anthony tedesco andy abbott emma sloan jacobs joanna lewis matt mercer ian nikus,force plan hit every home fast town avoid holiday disaster children family movies robbie daymond dayci brookshire anthony tedesco andy abbott emma sloan jacobs joanna lewis matt mercer ian nikus
1601,just another christmas,Brazil,stuck time loop forever family man holiday learn valuable important life,comedies international movies,leandro hassum elisa pinheiro danielle winits louise cardoso rodrigo fagundes arianne botelho miguel rômulo josé rubens chachá levi ferreira daniel filho,stuck time loop forever family man holiday learn valuable important life comedies international movies leandro hassum elisa pinheiro danielle winits louise cardoso rodrigo fagundes arianne botelho miguel rômulo josé rubens chachá levi ferreira daniel filho
1602,must be... love,Philippines,teenage girl romantic childhood best friend way win,comedies dramas international movies,kathryn bernardo daniel padilla liza soberano john estrada john lapus,teenage girl romantic childhood best friend way win comedies dramas international movies kathryn bernardo daniel padilla liza soberano john estrada john lapus
1603,alien worlds,United Kingdom,life earth rest galaxy series science fact fiction imagine alien life,british shows docuseries international shows,nan,life earth rest galaxy series science fact fiction imagine alien life british shows docuseries international shows nan
1604,ari eldjárn: pardon my icelandic,Iceland,special comedian fun take,stand-up comedy,ari eldjárn,special comedian fun take stand-up comedy ari eldjárn
1605,check the store next door: the next chapter,Indonesia,former shop owner retirement fish pond new life staff quirky,international shows comedies dramas,ernest prakasa chew kin wah dion wiyoko morgan oey anggika bolsterli arie kriting yusril fahriza awwe adjis doaibu aci resti bintang emon jenny zhang soleh solihun denny gitong,former shop owner retirement fish pond new life staff quirky international shows comedies dramas ernest prakasa chew kin wah dion wiyoko morgan oey anggika bolsterli arie kriting yusril fahriza awwe adjis doaibu aci resti bintang emon jenny zhang soleh solihun denny gitong
1606,fierce,Poland,gifted young singer becomes instant sensation popular talent show real goal earning love father member jury,comedies dramas international movies,katarzyna sawczuk maciej zakościelny anita sokołowska julia kamińska tomasz karolak maria pakulnis barbara wypych wojciech solarz adrian majewski michał piprowski urszula dudziak krzysztof ibisz,gifted young singer becomes instant sensation popular talent show real goal earning love father member jury comedies dramas international movies katarzyna sawczuk maciej zakościelny anita sokołowska julia kamińska tomasz karolak maria pakulnis barbara wypych wojciech solarz adrian majewski michał piprowski urszula dudziak krzysztof ibisz
1607,hazel brugger: tropical,Germany,special comedian hazel breezy unruly chatty german bank,stand-up comedy,hazel brugger,special comedian hazel breezy unruly chatty german bank stand-up comedy hazel brugger
1608,3 days to kill,"United States, France, Serbia",terminally ill secret agent risky mission exchange experimental drug might save survive side effect,action adventure,kevin costner amber heard hailee steinfeld connie nielsen tómas lemarquis richard sammel marc andréoni bruno ricci jonas bloquet eriq ebouaney,terminally ill secret agent risky mission exchange experimental drug might save survive side effect action adventure kevin costner amber heard hailee steinfeld connie nielsen tómas lemarquis richard sammel marc andréoni bruno ricci jonas bloquet eriq ebouaney
1609,angela's christmas wish,United States,father working far away determined plan heartfelt wish reunite family time,children family movies,lucy o'connell brendan mullins ruth negga lola metcalfe jared harris moe dunford oscar butler shona hamill pat kinevane janet moran anya o'connor,father working far away determined plan heartfelt wish reunite family time children family movies lucy o'connell brendan mullins ruth negga lola metcalfe jared harris moe dunford oscar butler shona hamill pat kinevane janet moran anya o'connor
1610,angels & demons,"United States, Italy",symbologist uncover help stop attack secret society looking retaliate old,thrillers,tom hanks ewan mcgregor ayelet zurer stellan skarsgård pierfrancesco favino nikolaj lie kaas armin mueller-stahl thure lindhardt david pasquesi cosimo fusco,symbologist uncover help stop attack secret society looking retaliate old thrillers tom hanks ewan mcgregor ayelet zurer stellan skarsgård pierfrancesco favino nikolaj lie kaas armin mueller-stahl thure lindhardt david pasquesi cosimo fusco
1611,are you the one,United States,determined dating algorithm group single must identify perfect shot love cash prize,reality,ryan devlin,determined dating algorithm group single must identify perfect shot love cash prize reality ryan devlin
1612,chef,United States,twitter war culinary critic chef home food truck,comedies independent movies,jon favreau sofía vergara john leguizamo scarlett johansson dustin hoffman oliver platt bobby cannavale amy sedaris robert downey jr. emjay anthony russell peters,twitter war culinary critic chef home food truck comedies independent movies jon favreau sofía vergara john leguizamo scarlett johansson dustin hoffman oliver platt bobby cannavale amy sedaris robert downey jr. emjay anthony russell peters
1613,effie gray,United Kingdom,trapped loveless marriage young wife art critic ruskin falling artist looking way,dramas international movies romantic movies,dakota fanning emma thompson julie walters david suchet derek jacobi james fox robbie coltrane claudia cardinale greg wise tom sturridge,trapped loveless marriage young wife art critic ruskin falling artist looking way dramas international movies romantic movies dakota fanning emma thompson julie walters david suchet derek jacobi james fox robbie coltrane claudia cardinale greg wise tom sturridge
1614,gormiti,"Spain, Italy",four become island must harness stop evil lord army ruling kingdom,kids,dermot arrigan jenny beacraft stephanie figueira ella galt james giblin noah levin,four become island must harness stop evil lord army ruling kingdom kids dermot arrigan jenny beacraft stephanie figueira ella galt james giblin noah levin
1615,ink master,United States,ten country skilled tattoo compete title ink master elimination competition,reality,dave navarro chris nuñez oliver peck,ten country skilled tattoo compete title ink master elimination competition reality dave navarro chris nuñez oliver peck
1616,monster house,United States,trio expose vacant neighborhood house craving people life,children family movies comedies,mitchel musso sam lerner spencer locke steve buscemi kathleen turner jason lee jon heder maggie gyllenhaal catherine o'hara fred willard nick cannon kevin james,trio expose vacant neighborhood house craving people life children family movies comedies mitchel musso sam lerner spencer locke steve buscemi kathleen turner jason lee jon heder maggie gyllenhaal catherine o'hara fred willard nick cannon kevin james
1617,natalie palamides: nate - a one man show,United States,tough talk soft turn comedian humor heartbreak sexuality consent live audience,comedies,natalie palamides,tough talk soft turn comedian humor heartbreak sexuality consent live audience comedies natalie palamides
